Datetime,NMEA msg,UTC time,latitude,northing,longitude,easting,fix mode status,space vehicles used,hdop,altitude msl,units,geoid (HAE-MSL),units,Age of DGNSS corrections,Ref station,latitude_decimal,longitude_decimal,HAE
2024-07-29 15:09:13,$GNGGA,200913,4153.23626,N,8739.54059,W,5,12,3.26,186.5,M,-33.8,M,11,0000*60,41.887271,-87.65900983333333,152.7
2024-07-29 15:09:14,$GNGGA,200914,4153.23694,N,8739.54064,W,5,12,3.26,186.5,M,-33.8,M,12,0000*63,41.88728233333333,-87.65901066666666,152.7
2024-07-29 15:09:15,$GNGGA,200915,4153.23763,N,8739.5407,W,5,12,3.26,186.4,M,-33.8,M,13,0000*6E,41.88729383333333,-87.65901166666667,152.60000000000002
2024-07-29 15:09:16,$GNGGA,200916,4153.23831,N,8739.54064,W,5,12,3.26,186.4,M,-33.8,M,14,0000*67,41.887305166666664,-87.65901066666666,152.60000000000002
2024-07-29 15:09:17,$GNGGA,200917,4153.23897,N,8739.54053,W,5,12,3.26,186.4,M,-33.8,M,15,0000*6F,41.887316166666665,-87.65900883333333,152.60000000000002
2024-07-29 15:09:18,$GNGGA,200918,4153.23963,N,8739.54045,W,5,12,3.26,186.3,M,-33.8,M,16,0000*69,41.887327166666665,-87.6590075,152.5
2024-07-29 15:09:19,$GNGGA,200919,4153.2403,N,8739.54047,W,5,12,3.26,186.3,M,-33.8,M,17,0000*63,41.88733833333333,-87.65900783333333,152.5
2024-07-29 15:09:20,$GNGGA,200920,4153.24095,N,8739.54047,W,5,12,3.26,186.3,M,-33.8,M,3,0000*53,41.88734916666667,-87.65900783333333,152.5
2024-07-29 15:09:21,$GNGGA,200921,4153.24163,N,8739.54048,W,5,12,1.87,186.1,M,-33.8,M,4,0000*59,41.8873605,-87.659008,152.3
2024-07-29 15:09:22,$GNGGA,200922,4153.24231,N,8739.54045,W,5,12,1.87,186,M,-33.8,M,5,0000*53,41.88737183333333,-87.6590075,152.2
